router http://10.60.1.88:30000
worker http://10.60.1.45:44331 http://10.60.1.71:35197 http://10.60.1.137:42833 http://10.60.1.22:33959 http://10.60.1.88:35275 http://10.60.1.196:40381 http://10.60.1.6:41329 http://10.60.1.145:44983 http://10.60.1.251:34615 http://10.60.1.117:43191 http://10.60.1.137:43909 http://10.60.1.238:35853 http://10.60.1.45:43193 http://10.60.1.251:37913 http://10.60.1.117:44893 http://10.60.1.167:44907 http://10.60.1.71:42581 http://10.60.1.145:41599 http://10.60.1.64:39379 http://10.60.1.6:38811 http://10.60.1.50:36929 http://10.60.1.88:38247 http://10.60.1.22:35843 http://10.60.1.50:46639 http://10.60.1.167:39451 http://10.60.1.64:39309 http://10.60.1.196:39475 http://10.60.1.238:36569 
16:42:50 t=1786812170 | 44331   0.0% req=1 0/0 kv= 0% pre=0 | 35197   0.0% req=1 0/0 kv= 0% pre=0 | 42833   0.0% req=1 0/0 kv= 0% pre=0 | 33959   0.0% req=1 0/0 kv= 0% pre=0 | 35275   0.0% req=1 0/0 kv= 0% pre=0 | 40381   0.0% req=1 0/0 kv= 0% pre=0 | 41329   0.0% req=1 0/0 kv= 0% pre=0 | 44983   0.0% req=1 0/0 kv= 0% pre=0 | 34615   0.0% req=1 0/0 kv= 0% pre=0 | 43191   0.0% req=1 0/0 kv= 0% pre=0 | 43909   0.0% req=1 0/0 kv= 0% pre=0 | 35853   0.0% req=1 0/0 kv= 0% pre=0 | 43193   0.0% req=1 0/0 kv= 0% pre=0 | 37913   0.0% req=1 0/0 kv= 0% pre=0 | 44893   0.0% req=1 0/0 kv= 0% pre=0 | 44907   0.0% req=1 0/0 kv= 0% pre=0 | 42581   0.0% req=1 0/0 kv= 0% pre=0 | 41599   0.0% req=1 0/0 kv= 0% pre=0 | 39379   0.0% req=1 0/0 kv= 0% pre=0 | 38811   0.0% req=1 0/0 kv= 0% pre=0 | 36929   0.0% req=1 0/0 kv= 0% pre=0 | 38247   0.0% req=1 0/0 kv= 0% pre=0 | 35843   0.0% req=1 0/0 kv= 0% pre=0 | 46639   0.0% req=1 0/0 kv= 0% pre=0 | 39451   0.0% req=1 0/0 kv= 0% pre=0 | 39309   0.0% req=1 0/0 kv= 0% pre=0 | 39475   0.0% req=1 0/0 kv= 0% pre=0 | 36569   0.0% req=1 0/0 kv= 0% pre=0 || 合计 0.0%
16:43:21 t=1786812201 | 44331     - req=1 0/0 kv= 0% pre=0 | 35197     - req=1 0/0 kv= 0% pre=0 | 42833     - req=1 0/0 kv= 0% pre=0 | 33959     - req=1 0/0 kv= 0% pre=0 | 35275     - req=1 0/0 kv= 0% pre=0 | 40381     - req=1 0/0 kv= 0% pre=0 | 41329     - req=1 0/0 kv= 0% pre=0 | 44983     - req=1 0/0 kv= 0% pre=0 | 34615     - req=1 0/0 kv= 0% pre=0 | 43191     - req=1 0/0 kv= 0% pre=0 | 43909     - req=1 0/0 kv= 0% pre=0 | 35853     - req=1 0/0 kv= 0% pre=0 | 43193     - req=1 0/0 kv= 0% pre=0 | 37913     - req=1 0/0 kv= 0% pre=0 | 44893     - req=1 0/0 kv= 0% pre=0 | 44907     - req=1 0/0 kv= 0% pre=0 | 42581     - req=1 0/0 kv= 0% pre=0 | 41599     - req=1 0/0 kv= 0% pre=0 | 39379     - req=1 0/0 kv= 0% pre=0 | 38811     - req=1 0/0 kv= 0% pre=0 | 36929     - req=1 0/0 kv= 0% pre=0 | 38247     - req=1 0/0 kv= 0% pre=0 | 35843     - req=1 0/0 kv= 0% pre=0 | 46639     - req=1 0/0 kv= 0% pre=0 | 39451     - req=1 0/0 kv= 0% pre=0 | 39309     - req=1 0/0 kv= 0% pre=0 | 39475     - req=1 0/0 kv= 0% pre=0 | 36569     - req=1 0/0 kv= 0% pre=0 || 合计 -
16:43:52 t=1786812232 | 44331     - req=1 0/0 kv= 0% pre=0 | 35197     - req=1 0/0 kv= 0% pre=0 | 42833     - req=1 0/0 kv= 0% pre=0 | 33959     - req=1 0/0 kv= 0% pre=0 | 35275     - req=1 0/0 kv= 0% pre=0 | 40381     - req=1 0/0 kv= 0% pre=0 | 41329     - req=1 0/0 kv= 0% pre=0 | 44983     - req=1 0/0 kv= 0% pre=0 | 34615     - req=1 0/0 kv= 0% pre=0 | 43191     - req=1 0/0 kv= 0% pre=0 | 43909     - req=1 0/0 kv= 0% pre=0 | 35853     - req=1 0/0 kv= 0% pre=0 | 43193     - req=1 0/0 kv= 0% pre=0 | 37913     - req=1 0/0 kv= 0% pre=0 | 44893     - req=1 0/0 kv= 0% pre=0 | 44907     - req=1 0/0 kv= 0% pre=0 | 42581     - req=1 0/0 kv= 0% pre=0 | 41599     - req=1 0/0 kv= 0% pre=0 | 39379     - req=1 0/0 kv= 0% pre=0 | 38811     - req=1 0/0 kv= 0% pre=0 | 36929     - req=1 0/0 kv= 0% pre=0 | 38247     - req=1 0/0 kv= 0% pre=0 | 35843     - req=1 0/0 kv= 0% pre=0 | 46639     - req=1 0/0 kv= 0% pre=0 | 39451     - req=1 0/0 kv= 0% pre=0 | 39309     - req=1 0/0 kv= 0% pre=0 | 39475     - req=1 0/0 kv= 0% pre=0 | 36569     - req=1 0/0 kv= 0% pre=0 || 合计 -
16:44:22 t=1786812262 | 44331   0.0% req=1 4/0 kv= 0% pre=0 | 35197   0.0% req=1 4/0 kv= 0% pre=0 | 42833   0.0% req=1 4/0 kv= 0% pre=0 | 33959   0.0% req=1 4/0 kv= 0% pre=0 | 35275   0.0% req=1 4/0 kv= 0% pre=0 | 40381   0.0% req=1 4/0 kv= 0% pre=0 | 41329   0.0% req=1 4/0 kv= 0% pre=0 | 44983   0.0% req=1 4/0 kv= 0% pre=0 | 34615   0.0% req=1 4/0 kv= 0% pre=0 | 43191   0.0% req=1 4/0 kv= 0% pre=0 | 43909   0.0% req=1 4/0 kv= 0% pre=0 | 35853   0.0% req=1 4/0 kv= 0% pre=0 | 43193   0.0% req=1 4/0 kv= 0% pre=0 | 37913   0.0% req=1 4/0 kv= 0% pre=0 | 44893   0.0% req=1 4/0 kv= 0% pre=0 | 44907   0.0% req=1 4/0 kv= 0% pre=0 | 42581   0.0% req=1 4/0 kv= 0% pre=0 | 41599   0.0% req=1 4/0 kv= 0% pre=0 | 39379   0.0% req=1 4/0 kv= 0% pre=0 | 38811   0.0% req=1 4/0 kv= 0% pre=0 | 36929   0.0% req=1 4/0 kv= 0% pre=0 | 38247   0.0% req=1 4/0 kv= 0% pre=0 | 35843   0.0% req=1 4/0 kv= 0% pre=0 | 46639   0.0% req=1 4/0 kv= 0% pre=0 | 39451   0.0% req=1 4/0 kv= 0% pre=0 | 39309   0.0% req=1 4/0 kv= 0% pre=0 | 39475   0.0% req=1 4/0 kv= 0% pre=0 | 36569   0.0% req=1 4/0 kv= 0% pre=0 || 合计 0.0%
16:44:53 t=1786812293 | 44331  79.2% req=25 4/0 kv= 0% pre=0 | 35197  79.5% req=29 4/0 kv= 0% pre=0 | 42833  73.0% req=29 3/0 kv= 0% pre=0 | 33959  78.4% req=29 0/0 kv= 0% pre=0 | 35275  78.1% req=25 4/0 kv= 0% pre=0 | 40381  79.6% req=29 4/0 kv= 0% pre=0 | 41329  76.9% req=25 4/0 kv= 0% pre=0 | 44983  77.8% req=25 4/0 kv= 0% pre=0 | 34615  80.1% req=29 4/0 kv= 0% pre=0 | 43191  78.7% req=29 0/0 kv= 0% pre=0 | 43909  80.5% req=29 3/0 kv= 0% pre=0 | 35853  76.4% req=25 4/0 kv= 0% pre=0 | 43193  78.9% req=29 4/0 kv= 0% pre=0 | 37913  80.0% req=25 4/0 kv= 0% pre=0 | 44893  77.8% req=29 4/0 kv= 0% pre=0 | 44907  80.2% req=29 4/0 kv= 0% pre=0 | 42581  82.2% req=29 1/0 kv= 0% pre=0 | 41599  80.0% req=29 4/0 kv= 0% pre=0 | 39379  77.8% req=25 4/0 kv= 0% pre=0 | 38811  81.2% req=29 4/0 kv= 0% pre=0 | 36929  78.8% req=29 4/0 kv= 0% pre=0 | 38247  80.6% req=29 4/0 kv= 0% pre=0 | 35843  77.8% req=25 4/0 kv= 0% pre=0 | 46639  76.1% req=25 4/0 kv= 0% pre=0 | 39451  73.8% req=25 4/0 kv= 0% pre=0 | 39309  80.7% req=29 4/0 kv= 0% pre=0 | 39475  80.4% req=26 3/0 kv= 0% pre=0 | 36569  74.7% req=29 2/0 kv= 0% pre=0 || 合计 78.4%
16:45:24 t=1786812324 | 44331  93.1% req=50 4/0 kv= 0% pre=0 | 35197  91.9% req=59 3/0 kv= 0% pre=0 | 42833  90.7% req=56 5/0 kv= 0% pre=0 | 33959  88.8% req=53 4/0 kv= 0% pre=0 | 35275  86.7% req=50 5/0 kv= 0% pre=0 | 40381  85.6% req=55 3/0 kv= 0% pre=0 | 41329  93.8% req=50 3/0 kv= 0% pre=0 | 44983  90.6% req=49 4/0 kv= 0% pre=0 | 34615  91.6% req=60 2/0 kv= 0% pre=0 | 43191  89.4% req=53 4/0 kv= 0% pre=0 | 43909  93.2% req=53 4/0 kv= 0% pre=0 | 35853  92.5% req=49 4/0 kv= 0% pre=0 | 43193  91.2% req=58 3/0 kv= 0% pre=0 | 37913  90.8% req=49 4/0 kv= 0% pre=0 | 44893  91.5% req=53 4/0 kv= 0% pre=0 | 44907  90.8% req=55 4/0 kv= 0% pre=0 | 42581  93.3% req=52 3/0 kv= 0% pre=0 | 41599  90.8% req=57 2/0 kv= 0% pre=0 | 39379  91.6% req=49 4/0 kv= 0% pre=0 | 38811  90.2% req=55 4/0 kv= 0% pre=0 | 36929  89.9% req=53 4/0 kv= 0% pre=0 | 38247  92.6% req=53 4/0 kv= 0% pre=0 | 35843  92.6% req=50 3/0 kv= 0% pre=0 | 46639  93.5% req=49 4/0 kv= 0% pre=0 | 39451  92.1% req=46 3/0 kv= 0% pre=0 | 39309  91.1% req=53 4/0 kv= 0% pre=0 | 39475  89.7% req=53 1/0 kv= 0% pre=0 | 36569  92.9% req=53 4/0 kv= 0% pre=0 || 合计 91.3%
16:45:55 t=1786812355 | 44331  85.9% req=76 5/0 kv= 0% pre=0 | 35197  89.3% req=85 6/0 kv= 0% pre=0 | 42833  93.2% req=86 4/0 kv= 0% pre=0 | 33959  88.2% req=85 6/0 kv= 0% pre=0 | 35275  93.2% req=85 0/0 kv= 0% pre=0 | 40381  82.7% req=74 3/0 kv= 0% pre=0 | 41329  94.7% req=77 4/0 kv= 0% pre=0 | 44983  95.5% req=72 3/0 kv= 0% pre=0 | 34615  92.9% req=90 5/0 kv= 0% pre=0 | 43191  95.2% req=77 3/0 kv= 0% pre=0 | 43909  89.5% req=89 2/0 kv= 0% pre=0 | 35853  95.2% req=74 3/0 kv= 0% pre=0 | 43193  94.1% req=79 4/0 kv= 0% pre=0 | 37913  92.5% req=73 5/0 kv= 0% pre=0 | 44893  92.5% req=81 4/0 kv= 0% pre=0 | 44907  91.8% req=77 3/0 kv= 0% pre=0 | 42581  91.1% req=72 2/0 kv= 0% pre=0 | 41599  94.2% req=82 4/0 kv= 0% pre=0 | 39379  95.7% req=73 4/0 kv= 0% pre=0 | 38811  94.2% req=83 2/0 kv= 0% pre=0 | 36929  92.0% req=82 5/0 kv= 0% pre=0 | 38247  94.2% req=73 3/0 kv= 0% pre=0 | 35843  94.6% req=72 2/0 kv= 0% pre=0 | 46639  95.9% req=73 3/0 kv= 0% pre=0 | 39451  96.8% req=64 3/0 kv= 0% pre=0 | 39309  94.6% req=77 4/0 kv= 0% pre=0 | 39475  92.9% req=75 4/0 kv= 0% pre=0 | 36569  95.8% req=77 4/0 kv= 0% pre=0 || 合计 92.9%
16:46:25 t=1786812385 | 44331  93.0% req=106 5/0 kv= 0% pre=0 | 35197  90.9% req=121 7/0 kv= 0% pre=0 | 42833  95.2% req=110 4/0 kv= 0% pre=0 | 33959  91.5% req=120 3/3 kv= 0% pre=0 | 35275  95.2% req=109 4/0 kv= 0% pre=0 | 40381  89.7% req=95 3/0 kv= 0% pre=0 | 41329  95.7% req=101 4/0 kv= 0% pre=0 | 44983  91.5% req=90 3/0 kv= 0% pre=0 | 34615  92.0% req=122 3/0 kv= 0% pre=0 | 43191  94.6% req=98 2/0 kv= 0% pre=0 | 43909  93.4% req=128 6/0 kv= 0% pre=0 | 35853  95.2% req=98 4/0 kv= 0% pre=0 | 43193  95.0% req=107 4/0 kv= 0% pre=0 | 37913  93.2% req=101 5/0 kv= 0% pre=0 | 44893  93.1% req=108 5/0 kv= 0% pre=0 | 44907  92.5% req=98 3/0 kv= 0% pre=0 | 42581  82.4% req=90 3/0 kv= 0% pre=0 | 41599  95.2% req=110 4/0 kv= 0% pre=0 | 39379  95.6% req=97 4/0 kv= 0% pre=0 | 38811  96.2% req=107 3/0 kv= 0% pre=0 | 36929  92.3% req=112 5/0 kv= 0% pre=0 | 38247  96.8% req=91 3/0 kv= 0% pre=0 | 35843  95.1% req=86 2/0 kv= 0% pre=0 | 46639  94.0% req=92 4/0 kv= 0% pre=0 | 39451  96.9% req=79 1/0 kv= 0% pre=0 | 39309  92.8% req=103 0/0 kv= 0% pre=0 | 39475  90.7% req=96 3/0 kv= 0% pre=0 | 36569  93.6% req=101 0/0 kv= 0% pre=0 || 合计 93.6%
16:46:56 t=1786812416 | 44331  92.1% req=139 6/0 kv= 0% pre=0 | 35197  88.9% req=171 9/0 kv= 0% pre=0 | 42833  97.3% req=135 2/0 kv= 0% pre=0 | 33959  95.3% req=149 1/0 kv= 0% pre=0 | 35275  91.8% req=130 3/0 kv= 0% pre=0 | 40381  89.7% req=118 5/0 kv= 0% pre=0 | 41329  94.9% req=120 3/0 kv= 0% pre=0 | 44983  73.9% req=111 4/1 kv= 0% pre=0 | 34615  93.6% req=146 4/0 kv= 0% pre=0 | 43191  92.5% req=120 4/0 kv= 0% pre=0 | 43909  95.7% req=165 5/0 kv= 0% pre=0 | 35853  90.2% req=123 5/0 kv= 0% pre=0 | 43193  94.6% req=135 2/0 kv= 0% pre=0 | 37913  94.8% req=126 4/0 kv= 0% pre=0 | 44893  95.1% req=138 5/0 kv= 0% pre=0 | 44907  92.1% req=119 3/0 kv= 0% pre=0 | 42581  81.9% req=107 3/0 kv= 0% pre=0 | 41599  95.6% req=131 3/0 kv= 0% pre=0 | 39379  93.7% req=123 5/0 kv= 0% pre=0 | 38811  97.1% req=128 3/0 kv= 0% pre=0 | 36929  91.6% req=144 4/0 kv= 0% pre=0 | 38247  97.0% req=109 3/0 kv= 0% pre=0 | 35843  92.3% req=102 2/0 kv= 0% pre=0 | 46639  94.9% req=116 4/0 kv= 0% pre=0 | 39451  93.2% req=94 2/0 kv= 0% pre=0 | 39309  96.2% req=121 3/0 kv= 0% pre=0 | 39475  86.8% req=114 3/0 kv= 0% pre=0 | 36569  96.6% req=121 4/0 kv= 0% pre=0 || 合计 93.2%
16:47:27 t=1786812447 | 44331  94.1% req=172 2/0 kv= 0% pre=0 | 35197  93.7% req=225 2/0 kv= 0% pre=0 | 42833  95.6% req=156 4/0 kv= 0% pre=0 | 33959  94.8% req=179 4/0 kv= 0% pre=0 | 35275  91.8% req=148 3/0 kv= 0% pre=0 | 40381  95.7% req=147 5/0 kv= 0% pre=0 | 41329  93.9% req=140 4/0 kv= 0% pre=0 | 44983  87.8% req=137 6/0 kv= 0% pre=0 | 34615  97.3% req=170 4/0 kv= 0% pre=0 | 43191  94.0% req=137 3/0 kv= 0% pre=0 | 43909  93.7% req=195 5/0 kv= 0% pre=0 | 35853  94.4% req=149 4/0 kv= 0% pre=0 | 43193  94.6% req=159 4/0 kv= 0% pre=0 | 37913  94.9% req=149 4/0 kv= 0% pre=0 | 44893  95.0% req=164 4/0 kv= 0% pre=0 | 44907  93.1% req=140 2/0 kv= 0% pre=0 | 42581  86.6% req=125 3/0 kv= 0% pre=0 | 41599  94.0% req=156 4/0 kv= 0% pre=0 | 39379  94.2% req=146 4/0 kv= 0% pre=0 | 38811  94.1% req=153 2/0 kv= 0% pre=0 | 36929  94.9% req=167 3/0 kv= 0% pre=0 | 38247  93.5% req=130 2/0 kv= 0% pre=0 | 35843  87.4% req=116 2/0 kv= 0% pre=0 | 46639  96.4% req=138 4/0 kv= 0% pre=0 | 39451  92.8% req=111 3/0 kv= 0% pre=0 | 39309  90.6% req=134 2/0 kv= 0% pre=0 | 39475  92.9% req=129 3/0 kv= 0% pre=0 | 36569  97.1% req=140 1/0 kv= 0% pre=0 || 合计 94.1%
16:47:57 t=1786812477 | 44331  95.4% req=195 5/0 kv= 0% pre=0 | 35197  93.0% req=269 8/0 kv= 0% pre=0 | 42833  95.2% req=183 5/0 kv= 0% pre=0 | 33959  96.5% req=212 5/0 kv= 0% pre=0 | 35275  88.9% req=166 3/0 kv= 0% pre=0 | 40381  95.1% req=171 3/0 kv= 0% pre=0 | 41329  93.8% req=163 4/0 kv= 0% pre=0 | 44983  91.2% req=173 4/0 kv= 0% pre=0 | 34615  94.4% req=197 4/0 kv= 0% pre=0 | 43191  90.3% req=154 3/0 kv= 0% pre=0 | 43909  96.6% req=224 5/0 kv= 0% pre=0 | 35853  95.4% req=173 3/0 kv= 0% pre=0 | 43193  93.8% req=187 4/0 kv= 0% pre=0 | 37913  96.2% req=171 3/0 kv= 0% pre=0 | 44893  93.1% req=189 5/0 kv= 0% pre=0 | 44907  88.0% req=162 4/0 kv= 0% pre=0 | 42581  86.4% req=141 3/0 kv= 0% pre=0 | 41599  96.3% req=178 3/0 kv= 0% pre=0 | 39379  93.6% req=170 4/0 kv= 0% pre=0 | 38811  91.6% req=176 5/0 kv= 0% pre=0 | 36929  86.5% req=188 2/0 kv= 0% pre=0 | 38247  94.8% req=147 2/0 kv= 0% pre=0 | 35843  87.8% req=134 5/0 kv= 0% pre=0 | 46639  96.6% req=160 4/0 kv= 0% pre=0 | 39451  97.2% req=130 3/0 kv= 0% pre=0 | 39309  80.4% req=149 3/0 kv= 0% pre=0 | 39475  93.4% req=147 3/0 kv= 0% pre=0 | 36569  94.9% req=156 2/0 kv= 0% pre=0 || 合计 93.7%
