router http://10.60.1.88:30000
worker http://10.60.1.45:44129 http://10.60.1.19:44773 http://10.60.1.167:34669 http://10.60.1.50:45101 http://10.60.1.88:44313 http://10.60.1.64:39727 http://10.60.1.145:43237 http://10.60.1.145:45227 http://10.60.1.22:38901 http://10.60.1.71:33721 http://10.60.1.64:46711 http://10.60.1.45:46833 http://10.60.1.123:44427 http://10.60.1.137:44657 http://10.60.1.137:39371 http://10.60.1.117:36671 http://10.60.1.123:34507 http://10.60.1.50:45911 http://10.60.1.22:45873 http://10.60.1.88:36861 http://10.60.1.167:44659 http://10.60.1.117:35427 http://10.60.1.6:40579 http://10.60.1.6:43975 http://10.60.1.19:33151 http://10.60.1.238:36733 http://10.60.1.71:34637 http://10.60.1.238:41259 
18:44:10 t=1786819450 | 44129   0.0% req=1 0/0 kv= 0% pre=0 | 44773   0.0% req=1 0/0 kv= 0% pre=0 | 34669   0.0% req=1 0/0 kv= 0% pre=0 | 45101   0.0% req=1 0/0 kv= 0% pre=0 | 44313   0.0% req=1 0/0 kv= 0% pre=0 | 39727   0.0% req=1 0/0 kv= 0% pre=0 | 43237   0.0% req=1 0/0 kv= 0% pre=0 | 45227   0.0% req=1 0/0 kv= 0% pre=0 | 38901   0.0% req=1 0/0 kv= 0% pre=0 | 33721   0.0% req=1 0/0 kv= 0% pre=0 | 46711   0.0% req=1 0/0 kv= 0% pre=0 | 46833   0.0% req=1 0/0 kv= 0% pre=0 | 44427   0.0% req=1 0/0 kv= 0% pre=0 | 44657   0.0% req=1 0/0 kv= 0% pre=0 | 39371   0.0% req=1 0/0 kv= 0% pre=0 | 36671   0.0% req=1 0/0 kv= 0% pre=0 | 34507   0.0% req=1 0/0 kv= 0% pre=0 | 45911   0.0% req=1 0/0 kv= 0% pre=0 | 45873   0.0% req=1 0/0 kv= 0% pre=0 | 36861   0.0% req=1 0/0 kv= 0% pre=0 | 44659   0.0% req=1 0/0 kv= 0% pre=0 | 35427   0.0% req=1 0/0 kv= 0% pre=0 | 40579   0.0% req=1 0/0 kv= 0% pre=0 | 43975   0.0% req=1 0/0 kv= 0% pre=0 | 33151   0.0% req=1 0/0 kv= 0% pre=0 | 36733   0.0% req=1 0/0 kv= 0% pre=0 | 34637   0.0% req=1 0/0 kv= 0% pre=0 | 41259   0.0% req=1 0/0 kv= 0% pre=0 || 合计 0.0%
18:44:41 t=1786819481 | 44129     - req=1 0/0 kv= 0% pre=0 | 44773     - req=1 0/0 kv= 0% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101     - req=1 0/0 kv= 0% pre=0 | 44313     - req=1 0/0 kv= 0% pre=0 | 39727     - req=1 0/0 kv= 0% pre=0 | 43237     - req=1 0/0 kv= 0% pre=0 | 45227     - req=1 0/0 kv= 0% pre=0 | 38901     - req=1 0/0 kv= 0% pre=0 | 33721     - req=1 0/0 kv= 0% pre=0 | 46711     - req=1 0/0 kv= 0% pre=0 | 46833     - req=1 0/0 kv= 0% pre=0 | 44427     - req=1 0/0 kv= 0% pre=0 | 44657     - req=1 0/0 kv= 0% pre=0 | 39371     - req=1 0/0 kv= 0% pre=0 | 36671     - req=1 0/0 kv= 0% pre=0 | 34507     - req=1 0/0 kv= 0% pre=0 | 45911     - req=1 0/0 kv= 0% pre=0 | 45873     - req=1 0/0 kv= 0% pre=0 | 36861     - req=1 0/0 kv= 0% pre=0 | 44659     - req=1 0/0 kv= 0% pre=0 | 35427     - req=1 0/0 kv= 0% pre=0 | 40579     - req=1 0/0 kv= 0% pre=0 | 43975     - req=1 0/0 kv= 0% pre=0 | 33151     - req=1 0/0 kv= 0% pre=0 | 36733     - req=1 0/0 kv= 0% pre=0 | 34637     - req=1 0/0 kv= 0% pre=0 | 41259     - req=1 0/0 kv= 0% pre=0 || 合计 -
18:45:12 t=1786819512 | 44129     - req=1 0/0 kv= 0% pre=0 | 44773     - req=1 0/0 kv= 0% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101     - req=1 0/0 kv= 0% pre=0 | 44313     - req=1 0/0 kv= 0% pre=0 | 39727     - req=1 0/0 kv= 0% pre=0 | 43237     - req=1 0/0 kv= 0% pre=0 | 45227     - req=1 0/0 kv= 0% pre=0 | 38901     - req=1 0/0 kv= 0% pre=0 | 33721     - req=1 0/0 kv= 0% pre=0 | 46711     - req=1 0/0 kv= 0% pre=0 | 46833     - req=1 0/0 kv= 0% pre=0 | 44427     - req=1 0/0 kv= 0% pre=0 | 44657     - req=1 0/0 kv= 0% pre=0 | 39371     - req=1 0/0 kv= 0% pre=0 | 36671     - req=1 0/0 kv= 0% pre=0 | 34507     - req=1 0/0 kv= 0% pre=0 | 45911     - req=1 0/0 kv= 0% pre=0 | 45873     - req=1 0/0 kv= 0% pre=0 | 36861     - req=1 0/0 kv= 0% pre=0 | 44659     - req=1 0/0 kv= 0% pre=0 | 35427     - req=1 0/0 kv= 0% pre=0 | 40579     - req=1 0/0 kv= 0% pre=0 | 43975     - req=1 0/0 kv= 0% pre=0 | 33151     - req=1 0/0 kv= 0% pre=0 | 36733     - req=1 0/0 kv= 0% pre=0 | 34637     - req=1 0/0 kv= 0% pre=0 | 41259     - req=1 0/0 kv= 0% pre=0 || 合计 -
18:45:42 t=1786819542 | 44129   0.0% req=1 6/0 kv= 2% pre=0 | 44773   0.0% req=1 4/0 kv= 1% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101   0.0% req=1 3/0 kv= 1% pre=0 | 44313   0.0% req=1 3/0 kv= 1% pre=0 | 39727   0.0% req=1 7/0 kv= 2% pre=0 | 43237   0.0% req=1 2/0 kv= 1% pre=0 | 45227   0.0% req=1 5/0 kv= 1% pre=0 | 38901   0.0% req=1 3/0 kv= 1% pre=0 | 33721   0.0% req=1 6/0 kv= 2% pre=0 | 46711   0.0% req=1 2/0 kv= 1% pre=0 | 46833   0.0% req=1 1/0 kv= 0% pre=0 | 44427   0.0% req=1 4/0 kv= 1% pre=0 | 44657   0.0% req=1 3/0 kv= 1% pre=0 | 39371   0.0% req=1 5/0 kv= 1% pre=0 | 36671   0.0% req=1 6/0 kv= 2% pre=0 | 34507   0.0% req=1 2/0 kv= 1% pre=0 | 45911   0.0% req=1 7/0 kv= 2% pre=0 | 45873   0.0% req=1 5/0 kv= 1% pre=0 | 36861   0.0% req=1 3/0 kv= 1% pre=0 | 44659   0.0% req=1 2/0 kv= 1% pre=0 | 35427   0.0% req=1 5/0 kv= 1% pre=0 | 40579   0.0% req=1 2/0 kv= 1% pre=0 | 43975   0.0% req=1 1/0 kv= 0% pre=0 | 33151   0.0% req=1 5/0 kv= 1% pre=0 | 36733   0.0% req=1 7/0 kv= 2% pre=0 | 34637   0.0% req=1 5/0 kv= 1% pre=0 | 41259   0.0% req=1 8/0 kv= 2% pre=0 || 合计 0.0%
18:46:13 t=1786819573 | 44129  74.0% req=31 6/0 kv= 4% pre=0 | 44773  81.5% req=29 4/0 kv= 2% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101  74.2% req=19 3/0 kv= 2% pre=0 | 44313  77.7% req=19 3/0 kv= 2% pre=0 | 39727  74.6% req=36 7/0 kv= 4% pre=0 | 43237  82.9% req=15 2/0 kv= 1% pre=0 | 45227  77.7% req=31 5/0 kv= 3% pre=0 | 38901  81.1% req=19 3/0 kv= 2% pre=0 | 33721  80.2% req=37 6/0 kv= 3% pre=0 | 46711  82.0% req=15 2/0 kv= 1% pre=0 | 46833  84.1% req=9 1/0 kv= 1% pre=0 | 44427  77.6% req=25 4/0 kv= 2% pre=0 | 44657  80.9% req=22 3/0 kv= 2% pre=0 | 39371  76.1% req=31 5/0 kv= 3% pre=0 | 36671  75.6% req=37 2/0 kv= 1% pre=0 | 34507  79.8% req=15 2/0 kv= 1% pre=0 | 45911  77.1% req=43 7/0 kv= 4% pre=0 | 45873  80.5% req=36 5/0 kv= 3% pre=0 | 36861  75.5% req=19 3/0 kv= 2% pre=0 | 44659  80.9% req=15 2/0 kv= 1% pre=0 | 35427  77.2% req=36 0/0 kv= 0% pre=0 | 40579  74.7% req=14 1/0 kv= 1% pre=0 | 43975  81.7% req=9 1/0 kv= 1% pre=0 | 33151  75.9% req=31 5/0 kv= 3% pre=0 | 36733  77.6% req=43 7/0 kv= 4% pre=0 | 34637  80.6% req=31 5/0 kv= 3% pre=0 | 41259  76.8% req=41 8/0 kv= 4% pre=0 || 合计 77.8%
18:46:44 t=1786819604 | 44129  91.9% req=67 6/0 kv= 4% pre=0 | 44773  91.0% req=53 1/0 kv= 1% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101  91.5% req=40 3/0 kv= 3% pre=0 | 44313  93.7% req=37 3/0 kv= 2% pre=0 | 39727  90.1% req=78 0/0 kv= 0% pre=0 | 43237  90.6% req=30 3/0 kv= 2% pre=0 | 45227  90.8% req=61 5/0 kv= 3% pre=0 | 38901  90.3% req=40 0/0 kv= 0% pre=0 | 33721  92.1% req=75 0/0 kv= 0% pre=0 | 46711  89.7% req=29 3/0 kv= 2% pre=0 | 46833  95.0% req=16 1/0 kv= 1% pre=0 | 44427  93.0% req=53 4/0 kv= 3% pre=0 | 44657  93.4% req=43 3/0 kv= 2% pre=0 | 39371  91.8% req=64 6/0 kv= 4% pre=0 | 36671  90.2% req=69 0/0 kv= 0% pre=0 | 34507  92.9% req=29 0/0 kv= 0% pre=0 | 45911  90.9% req=91 7/0 kv= 5% pre=0 | 45873  90.6% req=66 6/0 kv= 4% pre=0 | 36861  94.0% req=41 1/0 kv= 0% pre=0 | 44659  91.8% req=29 2/0 kv= 2% pre=0 | 35427  91.9% req=66 5/0 kv= 3% pre=0 | 40579  94.8% req=21 1/0 kv= 1% pre=0 | 43975  92.9% req=16 1/0 kv= 1% pre=0 | 33151  90.5% req=61 5/0 kv= 3% pre=0 | 36733  91.2% req=85 3/0 kv= 2% pre=0 | 34637  89.7% req=60 4/0 kv= 3% pre=0 | 41259  87.5% req=92 3/0 kv= 1% pre=0 || 合计 91.4%
18:47:14 t=1786819634 | 44129  91.8% req=107 3/0 kv= 2% pre=0 | 44773  85.8% req=79 5/0 kv= 3% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101  93.4% req=59 4/0 kv= 3% pre=0 | 44313  93.6% req=55 1/0 kv= 0% pre=0 | 39727  93.2% req=104 4/0 kv= 3% pre=0 | 43237  90.5% req=46 2/0 kv= 2% pre=0 | 45227  94.8% req=87 4/0 kv= 3% pre=0 | 38901  91.0% req=57 2/0 kv= 2% pre=0 | 33721  92.4% req=101 5/0 kv= 4% pre=0 | 46711  94.0% req=48 2/0 kv= 1% pre=0 | 46833  96.1% req=23 1/0 kv= 1% pre=0 | 44427  93.2% req=81 5/0 kv= 3% pre=0 | 44657  92.4% req=66 1/0 kv= 0% pre=0 | 39371  92.8% req=98 1/0 kv= 1% pre=0 | 36671  94.7% req=93 4/0 kv= 3% pre=0 | 34507  92.7% req=39 1/0 kv= 1% pre=0 | 45911  95.3% req=129 3/0 kv= 2% pre=0 | 45873  93.4% req=107 2/0 kv= 1% pre=0 | 36861  93.9% req=70 2/0 kv= 1% pre=0 | 44659  92.6% req=38 1/0 kv= 1% pre=0 | 35427  93.8% req=96 4/0 kv= 3% pre=0 | 40579  89.5% req=32 2/0 kv= 1% pre=0 | 43975  96.2% req=24 0/0 kv= 0% pre=0 | 33151  90.6% req=92 5/0 kv= 4% pre=0 | 36733  91.6% req=125 8/0 kv= 6% pre=0 | 34637  91.7% req=86 3/0 kv= 2% pre=0 | 41259  90.9% req=139 6/0 kv= 4% pre=0 || 合计 92.5%
18:47:45 t=1786819665 | 44129  94.5% req=143 7/0 kv= 6% pre=0 | 44773  88.2% req=118 6/0 kv= 4% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101  90.9% req=86 3/0 kv= 2% pre=0 | 44313  93.0% req=71 3/0 kv= 2% pre=0 | 39727  95.3% req=128 4/0 kv= 4% pre=0 | 43237  94.2% req=60 2/0 kv= 2% pre=0 | 45227  95.9% req=111 4/0 kv= 3% pre=0 | 38901  92.2% req=69 2/0 kv= 2% pre=0 | 33721  91.9% req=129 4/0 kv= 3% pre=0 | 46711  92.9% req=69 4/0 kv= 3% pre=0 | 46833  97.5% req=30 1/0 kv= 1% pre=0 | 44427  92.8% req=116 5/0 kv= 3% pre=0 | 44657  93.9% req=85 3/0 kv= 2% pre=0 | 39371  93.4% req=116 3/0 kv= 2% pre=0 | 36671  91.1% req=116 5/0 kv= 4% pre=0 | 34507  90.8% req=49 2/0 kv= 1% pre=0 | 45911  96.0% req=160 6/0 kv= 5% pre=0 | 45873  94.3% req=140 4/0 kv= 3% pre=0 | 36861  94.7% req=100 2/0 kv= 1% pre=0 | 44659  96.1% req=43 0/0 kv= 0% pre=0 | 35427  95.3% req=118 2/0 kv= 2% pre=0 | 40579  96.3% req=49 3/0 kv= 3% pre=0 | 43975  97.0% req=31 1/0 kv= 1% pre=0 | 33151  93.4% req=126 6/0 kv= 5% pre=0 | 36733  92.0% req=166 6/0 kv= 5% pre=0 | 34637  94.6% req=118 6/0 kv= 5% pre=0 | 41259  93.0% req=183 8/0 kv= 6% pre=0 || 合计 93.6%
18:48:16 t=1786819696 | 44129  94.9% req=178 6/0 kv= 5% pre=0 | 44773  93.6% req=161 8/0 kv= 5% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101  93.9% req=111 3/0 kv= 3% pre=0 | 44313  96.0% req=89 3/0 kv= 3% pre=0 | 39727  96.6% req=148 3/0 kv= 3% pre=0 | 43237  94.2% req=76 3/0 kv= 2% pre=0 | 45227  94.4% req=140 5/0 kv= 4% pre=0 | 38901  92.8% req=84 3/0 kv= 3% pre=0 | 33721  96.4% req=151 2/0 kv= 2% pre=0 | 46711  92.9% req=102 6/0 kv= 5% pre=0 | 46833  94.5% req=40 2/0 kv= 2% pre=0 | 44427  95.6% req=147 5/0 kv= 4% pre=0 | 44657  87.4% req=105 4/0 kv= 3% pre=0 | 39371  96.1% req=128 1/0 kv= 1% pre=0 | 36671  95.9% req=146 4/0 kv= 3% pre=0 | 34507  94.1% req=63 1/0 kv= 1% pre=0 | 45911  95.7% req=195 4/0 kv= 4% pre=0 | 45873  96.1% req=163 2/0 kv= 2% pre=0 | 36861  94.1% req=131 6/0 kv= 5% pre=0 | 44659  66.3% req=50 3/0 kv= 1% pre=0 | 35427  91.4% req=142 1/0 kv= 1% pre=0 | 40579  96.1% req=72 1/0 kv= 2% pre=0 | 43975  90.0% req=44 2/0 kv= 1% pre=0 | 33151  92.1% req=154 5/0 kv= 5% pre=0 | 36733  93.9% req=201 7/0 kv= 7% pre=0 | 34637  92.5% req=154 6/0 kv= 4% pre=0 | 41259  94.3% req=219 6/0 kv= 5% pre=0 || 合计 94.0%
18:48:46 t=1786819726 | 44129  95.9% req=215 6/0 kv= 5% pre=0 | 44773  93.9% req=208 5/0 kv= 3% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101  96.3% req=131 2/0 kv= 2% pre=0 | 44313  95.7% req=109 3/0 kv= 2% pre=0 | 39727  97.6% req=166 3/0 kv= 3% pre=0 | 43237  94.6% req=97 0/0 kv= 0% pre=0 | 45227  94.5% req=164 2/0 kv= 2% pre=0 | 38901  96.2% req=102 3/0 kv= 3% pre=0 | 33721  83.2% req=167 5/0 kv= 3% pre=0 | 46711  95.7% req=137 4/0 kv= 3% pre=0 | 46833  88.1% req=56 2/0 kv= 1% pre=0 | 44427  95.9% req=174 5/0 kv= 4% pre=0 | 44657  88.3% req=134 7/0 kv= 5% pre=0 | 39371  88.8% req=137 1/0 kv= 1% pre=0 | 36671  96.9% req=166 2/0 kv= 2% pre=0 | 34507  93.7% req=77 2/0 kv= 1% pre=0 | 45911  94.9% req=223 4/0 kv= 4% pre=0 | 45873  94.2% req=187 3/0 kv= 3% pre=0 | 36861  94.8% req=166 6/0 kv= 4% pre=0 | 44659  88.3% req=70 3/0 kv= 2% pre=0 | 35427  93.6% req=162 4/0 kv= 4% pre=0 | 40579  93.3% req=96 4/0 kv= 4% pre=0 | 43975  91.9% req=60 2/0 kv= 1% pre=0 | 33151  96.4% req=184 4/0 kv= 4% pre=0 | 36733  95.0% req=237 7/0 kv= 7% pre=0 | 34637  92.3% req=196 6/0 kv= 5% pre=0 | 41259  92.9% req=253 4/0 kv= 3% pre=0 || 合计 94.1%
18:49:17 t=1786819757 | 44129  95.6% req=247 3/0 kv= 3% pre=0 | 44773  95.3% req=241 3/0 kv= 2% pre=0 | 34669     - req=1 0/0 kv= 0% pre=0 | 45101  94.2% req=151 3/0 kv= 3% pre=0 | 44313  93.5% req=126 2/0 kv= 1% pre=0 | 39727  96.4% req=185 0/0 kv= 0% pre=0 | 43237  95.8% req=109 2/0 kv= 2% pre=0 | 45227  89.7% req=184 4/0 kv= 3% pre=0 | 38901  91.6% req=129 2/0 kv= 1% pre=0 | 33721  87.9% req=201 5/0 kv= 3% pre=0 | 46711  95.7% req=163 2/0 kv= 2% pre=0 | 46833  89.3% req=70 2/0 kv= 1% pre=0 | 44427  92.1% req=204 7/0 kv= 5% pre=0 | 44657  91.0% req=178 8/0 kv= 5% pre=0 | 39371  93.8% req=148 1/0 kv= 1% pre=0 | 36671  95.3% req=179 3/0 kv= 2% pre=0 | 34507  85.0% req=98 5/0 kv= 3% pre=0 | 45911  96.8% req=247 4/0 kv= 4% pre=0 | 45873  94.5% req=209 2/0 kv= 2% pre=0 | 36861  94.3% req=195 3/0 kv= 2% pre=0 | 44659  85.0% req=99 8/0 kv= 5% pre=0 | 35427  94.8% req=181 2/0 kv= 2% pre=0 | 40579  96.8% req=117 2/0 kv= 1% pre=0 | 43975  92.1% req=81 4/0 kv= 3% pre=0 | 33151  93.9% req=204 3/0 kv= 2% pre=0 | 36733  96.1% req=275 8/0 kv= 8% pre=0 | 34637  94.5% req=235 3/0 kv= 2% pre=0 | 41259  94.6% req=281 5/0 kv= 4% pre=0 || 合计 93.6%
