router http://10.60.1.88:30000
worker http://10.60.1.145:33603 http://10.60.1.50:33691 http://10.60.1.196:43181 http://10.60.1.50:40907 http://10.60.1.196:35655 http://10.60.1.145:36021 http://10.60.1.45:39065 
14:08:43 t=1786889323 | 33603     - req=0 0/0 kv= 0% pre=0 | 33691     - req=0 0/0 kv= 0% pre=0 | 43181     - req=0 0/0 kv= 0% pre=0 | 40907     - req=0 0/0 kv= 0% pre=0 | 35655     - req=0 0/0 kv= 0% pre=0 | 36021     - req=0 0/0 kv= 0% pre=0 | 39065     - req=0 0/0 kv= 0% pre=0 || 合计 -
14:09:14 t=1786889354 | 33603     - req=0 0/0 kv= 0% pre=0 | 33691     - req=0 0/0 kv= 0% pre=0 | 43181     - req=0 0/0 kv= 0% pre=0 | 40907     - req=0 0/0 kv= 0% pre=0 | 35655     - req=0 0/0 kv= 0% pre=0 | 36021     - req=0 0/0 kv= 0% pre=0 | 39065     - req=0 0/0 kv= 0% pre=0 || 合计 -
14:09:44 t=1786889384 | 33603     - req=0 0/0 kv= 0% pre=0 | 33691     - req=0 0/0 kv= 0% pre=0 | 43181     - req=0 0/0 kv= 0% pre=0 | 40907     - req=0 0/0 kv= 0% pre=0 | 35655     - req=0 0/0 kv= 0% pre=0 | 36021     - req=0 0/0 kv= 0% pre=0 | 39065     - req=0 0/0 kv= 0% pre=0 || 合计 -
14:10:14 t=1786889414 | 33603     - req=0 0/0 kv= 0% pre=0 | 33691     - req=0 0/0 kv= 0% pre=0 | 43181     - req=0 0/0 kv= 0% pre=0 | 40907     - req=0 0/0 kv= 0% pre=0 | 35655     - req=0 0/0 kv= 0% pre=0 | 36021     - req=0 0/0 kv= 0% pre=0 | 39065     - req=0 0/0 kv= 0% pre=0 || 合计 -
14:10:44 t=1786889444 | 33603   0.0% req=0 24/0 kv= 7% pre=0 | 33691   0.0% req=0 18/0 kv= 5% pre=0 | 43181   0.0% req=0 27/0 kv= 8% pre=0 | 40907   0.0% req=0 21/0 kv= 6% pre=0 | 35655   0.0% req=0 18/0 kv= 5% pre=0 | 36021   0.0% req=0 23/0 kv= 7% pre=0 | 39065   0.0% req=0 21/0 kv= 6% pre=0 || 合计 0.0%
14:11:14 t=1786889474 | 33603  67.1% req=90 7/0 kv= 3% pre=0 | 33691  69.7% req=72 18/0 kv=11% pre=0 | 43181  69.2% req=81 27/0 kv=13% pre=0 | 40907  70.6% req=84 14/7 kv= 7% pre=0 | 35655  69.9% req=72 18/0 kv= 9% pre=0 | 36021  66.0% req=70 22/0 kv=11% pre=0 | 39065  72.1% req=84 21/0 kv=11% pre=0 || 合计 69.3%
14:11:45 t=1786889505 | 33603  88.3% req=169 20/0 kv=12% pre=0 | 33691  87.7% req=144 0/0 kv= 0% pre=0 | 43181  86.0% req=165 24/0 kv=14% pre=0 | 40907  87.2% req=167 1/0 kv= 1% pre=0 | 35655  87.2% req=142 14/0 kv=10% pre=0 | 36021  86.6% req=161 8/0 kv= 5% pre=0 | 39065  87.6% req=168 3/0 kv= 2% pre=0 || 合计 87.2%
14:12:15 t=1786889535 | 33603  90.1% req=248 0/0 kv= 0% pre=0 | 33691  91.4% req=185 1/0 kv= 1% pre=0 | 43181  90.8% req=247 3/0 kv= 2% pre=0 | 40907  91.1% req=218 0/0 kv= 0% pre=0 | 35655  91.9% req=196 4/0 kv= 3% pre=0 | 36021  91.7% req=225 0/0 kv= 0% pre=0 | 39065  91.0% req=228 3/0 kv= 3% pre=0 || 合计 91.1%
14:12:45 t=1786889565 | 33603  92.0% req=289 21/0 kv=15% pre=0 | 33691  93.9% req=216 15/0 kv=13% pre=0 | 43181  91.8% req=282 24/0 kv=16% pre=0 | 40907  94.2% req=256 21/0 kv=15% pre=0 | 35655  94.3% req=223 16/0 kv=13% pre=0 | 36021  93.2% req=267 22/0 kv=15% pre=0 | 39065  92.5% req=268 20/0 kv=15% pre=0 || 合计 93.0%
14:13:15 t=1786889595 | 33603  93.8% req=350 3/1 kv= 2% pre=0 | 33691  94.3% req=257 0/0 kv= 0% pre=0 | 43181  93.8% req=348 0/0 kv= 0% pre=0 | 40907  95.0% req=316 7/0 kv= 5% pre=0 | 35655  94.7% req=265 1/0 kv= 1% pre=0 | 36021  94.1% req=333 1/0 kv= 1% pre=0 | 39065  93.4% req=325 2/0 kv= 2% pre=0 || 合计 94.1%
14:13:45 t=1786889625 | 33603  94.7% req=393 0/0 kv= 0% pre=0 | 33691  95.1% req=289 10/0 kv=10% pre=0 | 43181  93.6% req=406 2/0 kv= 2% pre=0 | 40907  94.7% req=372 5/0 kv= 4% pre=0 | 35655  94.7% req=297 0/0 kv= 0% pre=0 | 36021  92.9% req=376 2/0 kv= 2% pre=0 | 39065  94.9% req=373 2/0 kv= 2% pre=0 || 合计 94.3%
