router http://10.60.1.238:30000
worker http://10.60.1.239:39521 http://10.60.1.239:41111 http://10.60.1.239:41583 http://10.60.1.239:45607 
14:31:57 t=1786804317 | 39521   0.0% req=1 0/0 kv= 0% pre=0 | 41111   0.0% req=1 0/0 kv= 0% pre=0 | 41583   0.0% req=1 0/0 kv= 0% pre=0 | 45607   0.0% req=1 0/0 kv= 0% pre=0 || 合计 0.0%
14:32:27 t=1786804347 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:32:57 t=1786804377 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:33:27 t=1786804407 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:33:57 t=1786804437 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:34:27 t=1786804467 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:34:57 t=1786804497 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:35:28 t=1786804528 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:35:58 t=1786804558 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:36:28 t=1786804588 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:36:58 t=1786804618 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:37:28 t=1786804648 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:37:58 t=1786804678 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:38:28 t=1786804708 | 39521     - req=1 0/0 kv= 0% pre=0 | 41111     - req=1 0/0 kv= 0% pre=0 | 41583     - req=1 0/0 kv= 0% pre=0 | 45607     - req=1 0/0 kv= 0% pre=0 || 合计 -
14:38:58 t=1786804738 | 39521  49.1% req=7 3/0 kv= 0% pre=0 | 41111  60.6% req=7 2/0 kv= 0% pre=0 | 41583  66.4% req=5 1/0 kv= 0% pre=0 | 45607  61.8% req=7 2/0 kv= 0% pre=0 || 合计 58.0%
14:39:28 t=1786804768 | 39521  94.7% req=55 3/0 kv= 0% pre=0 | 41111  95.2% req=39 2/0 kv= 0% pre=0 | 41583  95.3% req=25 0/0 kv= 0% pre=0 | 45607  95.0% req=43 2/0 kv= 0% pre=0 || 合计 95.0%
14:39:58 t=1786804798 | 39521  96.7% req=105 0/0 kv= 0% pre=0 | 41111  95.7% req=67 2/0 kv= 0% pre=0 | 41583  98.5% req=42 1/0 kv= 0% pre=0 | 45607  97.9% req=73 0/0 kv= 0% pre=0 || 合计 97.0%
14:40:29 t=1786804829 | 39521  98.4% req=157 0/0 kv= 0% pre=0 | 41111  95.2% req=92 2/0 kv= 0% pre=0 | 41583  91.6% req=63 2/0 kv= 0% pre=0 | 45607  94.6% req=106 2/0 kv= 0% pre=0 || 合计 96.0%
14:40:59 t=1786804859 | 39521  98.4% req=190 2/0 kv= 0% pre=0 | 41111  93.5% req=125 2/0 kv= 0% pre=0 | 41583  93.3% req=105 3/0 kv= 0% pre=0 | 45607  97.8% req=120 0/0 kv= 0% pre=0 || 合计 95.6%
14:41:29 t=1786804889 | 39521  99.0% req=207 0/0 kv= 0% pre=0 | 41111  98.4% req=161 1/0 kv= 0% pre=0 | 41583  96.9% req=134 0/0 kv= 0% pre=0 | 45607     - req=120 0/0 kv= 0% pre=0 || 合计 98.0%
14:41:59 t=1786804919 | 39521     - req=207 0/0 kv= 0% pre=0 | 41111  98.7% req=191 0/0 kv= 0% pre=0 | 41583     - req=134 0/0 kv= 0% pre=0 | 45607     - req=120 0/0 kv= 0% pre=0 || 合计 98.7%
14:42:29 t=1786804949 | 39521     - req=207 0/0 kv= 0% pre=0 | 41111  97.6% req=204 0/0 kv= 0% pre=0 | 41583     - req=134 0/0 kv= 0% pre=0 | 45607     - req=120 0/0 kv= 0% pre=0 || 合计 97.6%
