router http://10.60.1.238:30000
worker http://10.60.1.6:46319 http://10.60.1.6:40677 http://10.60.1.6:45073 http://10.60.1.6:36139 
15:19:36 t=1786807176 | 46319   0.0% req=1 0/0 kv= 0% pre=0 | 40677   0.0% req=1 0/0 kv= 0% pre=0 | 45073   0.0% req=1 0/0 kv= 0% pre=0 | 36139   0.0% req=1 0/0 kv= 0% pre=0 || 合计 0.0%
15:20:06 t=1786807206 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:20:37 t=1786807237 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:21:07 t=1786807267 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:21:37 t=1786807297 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:22:07 t=1786807327 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:22:37 t=1786807357 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:23:07 t=1786807387 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:23:37 t=1786807417 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:24:07 t=1786807447 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:24:37 t=1786807477 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:25:07 t=1786807507 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:25:38 t=1786807538 | 46319     - req=1 0/0 kv= 0% pre=0 | 40677     - req=1 0/0 kv= 0% pre=0 | 45073     - req=1 0/0 kv= 0% pre=0 | 36139     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:26:08 t=1786807568 | 46319  75.7% req=15 0/0 kv= 0% pre=0 | 40677  81.0% req=8 1/0 kv= 0% pre=0 | 45073  72.3% req=16 3/0 kv= 0% pre=0 | 36139  79.3% req=15 2/0 kv= 0% pre=0 || 合计 76.4%
15:26:38 t=1786807598 | 46319  95.1% req=46 0/0 kv= 0% pre=0 | 40677  97.8% req=25 0/0 kv= 0% pre=0 | 45073  95.7% req=61 3/0 kv= 0% pre=0 | 36139  95.6% req=51 0/0 kv= 0% pre=0 || 合计 95.9%
15:27:08 t=1786807628 | 46319  98.8% req=55 0/0 kv= 0% pre=0 | 40677     - req=25 0/0 kv= 0% pre=0 | 45073  95.9% req=118 0/0 kv= 0% pre=0 | 36139  95.7% req=91 3/0 kv= 0% pre=0 || 合计 96.2%
15:27:38 t=1786807658 | 46319     - req=55 0/0 kv= 0% pre=0 | 40677     - req=25 0/0 kv= 0% pre=0 | 45073  97.8% req=165 3/0 kv= 0% pre=0 | 36139  94.5% req=148 0/0 kv= 0% pre=0 || 合计 96.4%
15:28:08 t=1786807688 | 46319     - req=55 0/0 kv= 0% pre=0 | 40677  89.4% req=63 3/0 kv= 0% pre=0 | 45073  98.4% req=192 0/0 kv= 0% pre=0 | 36139  97.3% req=196 2/0 kv= 0% pre=0 || 合计 95.6%
15:28:38 t=1786807718 | 46319     - req=55 0/0 kv= 0% pre=0 | 40677  97.3% req=108 1/0 kv= 0% pre=0 | 45073  98.0% req=210 1/0 kv= 0% pre=0 | 36139  98.4% req=228 0/0 kv= 0% pre=0 || 合计 97.9%
15:29:08 t=1786807748 | 46319     - req=55 0/0 kv= 0% pre=0 | 40677  98.7% req=140 2/0 kv= 0% pre=0 | 45073     - req=211 0/0 kv= 0% pre=0 | 36139     - req=228 0/0 kv= 0% pre=0 || 合计 98.7%
15:29:38 t=1786807778 | 46319     - req=55 0/0 kv= 0% pre=0 | 40677  99.1% req=166 1/0 kv= 0% pre=0 | 45073     - req=211 0/0 kv= 0% pre=0 | 36139     - req=228 0/0 kv= 0% pre=0 || 合计 99.1%
15:30:08 t=1786807808 | 10.60.1.6:46319 -- | 10.60.1.6:40677 -- | 10.60.1.6:45073 -- | 10.60.1.6:36139 -- || 合计 -
