router (none)
worker http://10.60.1.6:38261 http://10.60.1.6:38689 http://10.60.1.6:35481 http://10.60.1.6:41789 
01:56:26 t=1786845386 | 10.60.1.6:38261 -- | 10.60.1.6:38689 -- | 10.60.1.6:35481 -- | 10.60.1.6:41789 -- || 合计 -
01:57:16 t=1786845436 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
01:57:46 t=1786845466 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
01:58:16 t=1786845496 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
01:58:47 t=1786845527 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
01:59:17 t=1786845557 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
01:59:47 t=1786845587 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
02:00:17 t=1786845617 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
02:00:47 t=1786845647 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
02:01:17 t=1786845677 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
02:01:47 t=1786845707 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
02:02:17 t=1786845737 | 38261     - req=0 0/0 kv= 0% pre=0 | 38689     - req=0 0/0 kv= 0% pre=0 | 35481     - req=0 0/0 kv= 0% pre=0 | 41789     - req=0 0/0 kv= 0% pre=0 || 合计 -
02:02:47 t=1786845767 | 38261  63.6% req=20 5/0 kv= 3% pre=0 | 38689  78.7% req=7 0/0 kv= 0% pre=0 | 35481  80.4% req=7 1/0 kv= 1% pre=0 | 41789  81.7% req=7 1/0 kv= 1% pre=0 || 合计 72.3%
02:03:17 t=1786845797 | 38261  94.6% req=85 0/0 kv= 0% pre=0 | 38689  96.6% req=25 1/0 kv= 1% pre=0 | 35481  97.1% req=25 1/0 kv= 1% pre=0 | 41789  98.2% req=26 1/0 kv= 1% pre=0 || 合计 96.1%
02:03:48 t=1786845828 | 38261  97.5% req=144 4/0 kv= 4% pre=0 | 38689  91.1% req=50 2/0 kv= 1% pre=0 | 35481  98.2% req=43 1/0 kv= 0% pre=0 | 41789  98.9% req=45 1/0 kv= 1% pre=0 || 合计 97.2%
02:04:18 t=1786845858 | 38261  96.1% req=179 0/0 kv= 0% pre=0 | 38689  91.3% req=93 2/0 kv= 1% pre=0 | 35481  80.7% req=64 2/0 kv= 2% pre=0 | 41789  92.9% req=80 0/0 kv= 0% pre=0 || 合计 91.2%
