router http://10.60.1.88:30000
worker http://10.60.1.22:35723 http://10.60.1.22:33855 http://10.60.1.88:39041 http://10.60.1.88:41431 http://10.60.1.123:33247 http://10.60.1.123:46631 http://10.60.1.19:44413 http://10.60.1.19:37359 http://10.60.1.137:43827 http://10.60.1.137:44959 http://10.60.1.145:38875 http://10.60.1.145:36539 
15:12:23 t=1786893143 | 10.60.1.22:35723 -- | 10.60.1.22:33855 -- | 10.60.1.88:39041 -- | 10.60.1.88:41431 -- | 10.60.1.123:33247 -- | 10.60.1.123:46631 -- | 10.60.1.19:44413 -- | 10.60.1.19:37359 -- | 43827     - req=0 0/0 kv= 0% pre=0 | 44959     - req=0 0/0 kv= 0% pre=0 | 38875     - req=0 0/0 kv= 0% pre=0 | 36539     - req=0 0/0 kv= 0% pre=0 || 合计 -
15:13:39 t=1786893219 | 35723   0.0% req=1 0/0 kv= 0% pre=0 | 33855   0.0% req=1 0/0 kv= 0% pre=0 | 39041   0.0% req=1 0/0 kv= 0% pre=0 | 41431   0.0% req=1 0/0 kv= 0% pre=0 | 33247   0.0% req=1 0/0 kv= 0% pre=0 | 46631   0.0% req=1 0/0 kv= 0% pre=0 | 44413   0.0% req=1 0/0 kv= 0% pre=0 | 37359   0.0% req=1 0/0 kv= 0% pre=0 | 43827   0.0% req=1 0/0 kv= 0% pre=0 | 44959   0.0% req=1 0/0 kv= 0% pre=0 | 38875   0.0% req=1 0/0 kv= 0% pre=0 | 36539   0.0% req=1 0/0 kv= 0% pre=0 || 合计 0.0%
15:14:09 t=1786893249 | 35723     - req=1 0/0 kv= 0% pre=0 | 33855     - req=1 0/0 kv= 0% pre=0 | 39041     - req=1 0/0 kv= 0% pre=0 | 41431     - req=1 0/0 kv= 0% pre=0 | 33247     - req=1 0/0 kv= 0% pre=0 | 46631     - req=1 0/0 kv= 0% pre=0 | 44413     - req=1 0/0 kv= 0% pre=0 | 37359     - req=1 0/0 kv= 0% pre=0 | 43827     - req=1 0/0 kv= 0% pre=0 | 44959     - req=1 0/0 kv= 0% pre=0 | 38875     - req=1 0/0 kv= 0% pre=0 | 36539     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:14:39 t=1786893279 | 35723     - req=1 0/0 kv= 0% pre=0 | 33855     - req=1 0/0 kv= 0% pre=0 | 39041     - req=1 0/0 kv= 0% pre=0 | 41431     - req=1 0/0 kv= 0% pre=0 | 33247     - req=1 0/0 kv= 0% pre=0 | 46631     - req=1 0/0 kv= 0% pre=0 | 44413     - req=1 0/0 kv= 0% pre=0 | 37359     - req=1 0/0 kv= 0% pre=0 | 43827     - req=1 0/0 kv= 0% pre=0 | 44959     - req=1 0/0 kv= 0% pre=0 | 38875     - req=1 0/0 kv= 0% pre=0 | 36539     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:15:09 t=1786893309 | 35723   0.0% req=1 31/20 kv= 9% pre=0 | 33855   0.0% req=1 30/21 kv= 9% pre=0 | 39041   0.0% req=1 31/20 kv= 9% pre=0 | 41431   0.0% req=1 31/19 kv= 9% pre=0 | 33247   0.0% req=1 31/20 kv= 9% pre=0 | 46631   0.0% req=1 31/20 kv= 9% pre=0 | 44413   0.0% req=1 31/20 kv= 9% pre=0 | 37359   0.0% req=1 32/19 kv= 9% pre=0 | 43827   0.0% req=1 32/18 kv=10% pre=0 | 44959   0.0% req=1 31/20 kv= 9% pre=0 | 38875   0.0% req=1 32/19 kv=10% pre=0 | 36539   0.0% req=1 32/19 kv= 9% pre=0 || 合计 0.0%
15:15:40 t=1786893340 | 35723  43.7% req=68 47/0 kv=19% pre=0 | 33855  37.3% req=61 46/2 kv=18% pre=0 | 39041  46.7% req=74 49/0 kv=19% pre=0 | 41431  41.7% req=64 48/0 kv=19% pre=0 | 33247  45.0% req=68 49/1 kv=19% pre=0 | 46631  39.3% req=62 48/0 kv=18% pre=0 | 44413  41.6% req=66 46/3 kv=19% pre=0 | 37359  45.1% req=75 46/2 kv=18% pre=0 | 43827  43.8% req=67 49/0 kv=20% pre=0 | 44959  43.2% req=69 46/3 kv=18% pre=0 | 38875  45.7% req=72 49/0 kv=19% pre=0 | 36539  43.8% req=71 44/7 kv=17% pre=0 || 合计 43.0%
15:16:10 t=1786893370 | 35723  73.6% req=167 41/0 kv=20% pre=0 | 33855  73.6% req=154 51/0 kv=25% pre=0 | 39041  74.5% req=179 45/5 kv=23% pre=0 | 41431  77.1% req=189 32/0 kv=15% pre=0 | 33247  73.6% req=168 45/0 kv=23% pre=0 | 46631  71.2% req=154 51/0 kv=25% pre=0 | 44413  74.2% req=171 41/3 kv=21% pre=0 | 37359  75.7% req=181 47/1 kv=23% pre=0 | 43827  75.2% req=173 47/3 kv=24% pre=0 | 44959  73.3% req=173 43/5 kv=21% pre=0 | 38875  76.8% req=177 51/0 kv=25% pre=0 | 36539  75.0% req=173 48/4 kv=23% pre=0 || 合计 74.5%
15:16:40 t=1786893400 | 35723  85.9% req=296 31/0 kv=18% pre=0 | 33855  85.7% req=279 43/0 kv=25% pre=0 | 39041  85.8% req=303 38/1 kv=22% pre=0 | 41431  84.9% req=300 33/0 kv=19% pre=0 | 33247  86.0% req=307 22/0 kv=13% pre=0 | 46631  85.8% req=302 11/1 kv= 7% pre=0 | 44413  83.8% req=277 48/4 kv=29% pre=0 | 37359  85.3% req=303 50/0 kv=28% pre=0 | 43827  86.4% req=301 41/6 kv=24% pre=0 | 44959  85.3% req=299 35/0 kv=19% pre=0 | 38875  86.6% req=307 51/0 kv=29% pre=0 | 36539  85.7% req=301 52/0 kv=29% pre=0 || 合计 85.6%
15:17:11 t=1786893431 | 35723  90.8% req=409 51/0 kv=32% pre=0 | 33855  89.9% req=407 50/0 kv=32% pre=0 | 39041  89.3% req=412 48/0 kv=31% pre=0 | 41431  90.3% req=404 48/0 kv=30% pre=0 | 33247  90.2% req=409 51/0 kv=32% pre=0 | 46631  90.1% req=409 41/8 kv=26% pre=0 | 44413  88.0% req=385 50/0 kv=33% pre=0 | 37359  88.2% req=427 26/0 kv=17% pre=0 | 43827  89.6% req=413 50/0 kv=32% pre=0 | 44959  90.7% req=419 37/0 kv=23% pre=0 | 38875  89.6% req=432 49/0 kv=32% pre=0 | 36539  89.7% req=415 51/0 kv=30% pre=0 || 合计 89.7%
15:17:41 t=1786893461 | 35723  91.9% req=537 36/0 kv=24% pre=0 | 33855  92.9% req=543 33/0 kv=23% pre=0 | 39041  92.7% req=537 45/0 kv=31% pre=0 | 41431  91.5% req=513 46/0 kv=31% pre=0 | 33247  92.3% req=524 48/0 kv=33% pre=0 | 46631  91.2% req=510 49/0 kv=33% pre=0 | 44413  92.5% req=519 21/0 kv=15% pre=0 | 37359  91.4% req=551 49/0 kv=35% pre=0 | 43827  92.3% req=522 49/0 kv=33% pre=0 | 44959  91.4% req=524 48/0 kv=32% pre=0 | 38875  92.2% req=552 45/0 kv=31% pre=0 | 36539  91.4% req=552 48/0 kv=31% pre=0 || 合计 91.9%
15:18:12 t=1786893492 | 35723  93.2% req=653 44/0 kv=32% pre=0 | 33855  93.0% req=645 46/0 kv=34% pre=0 | 39041  93.1% req=642 38/0 kv=29% pre=0 | 41431  93.3% req=619 43/0 kv=32% pre=0 | 33247  93.7% req=653 33/0 kv=24% pre=0 | 46631  93.0% req=651 20/0 kv=14% pre=0 | 44413  92.8% req=626 31/1 kv=23% pre=0 | 37359  93.2% req=685 10/0 kv= 8% pre=0 | 43827  93.7% req=641 47/0 kv=33% pre=0 | 44959  93.1% req=662 8/0 kv= 6% pre=0 | 38875  94.0% req=675 35/0 kv=26% pre=0 | 36539  93.2% req=695 33/0 kv=23% pre=0 || 合计 93.3%
