router http://10.60.1.88:30000
worker http://10.60.1.19:35997 http://10.60.1.19:35089 http://10.60.1.22:33833 http://10.60.1.22:39477 http://10.60.1.123:32925 http://10.60.1.123:37455 http://10.60.1.88:32985 http://10.60.1.88:34507 http://10.60.1.45:34887 http://10.60.1.45:37879 http://10.60.1.167:34035 http://10.60.1.167:35269 
15:47:55 t=1786895275 | 10.60.1.19:35997 -- | 10.60.1.19:35089 -- | 10.60.1.22:33833 -- | 10.60.1.22:39477 -- | 10.60.1.123:32925 -- | 10.60.1.123:37455 -- | 32985     - req=0 0/0 kv= 0% pre=0 | 34507     - req=0 0/0 kv= 0% pre=0 | 34887     - req=0 0/0 kv= 0% pre=0 | 37879     - req=0 0/0 kv= 0% pre=0 | 34035     - req=0 0/0 kv= 0% pre=0 | 35269     - req=0 0/0 kv= 0% pre=0 || 合计 -
15:49:00 t=1786895340 | 35997   0.0% req=1 0/0 kv= 0% pre=0 | 35089   0.0% req=1 0/0 kv= 0% pre=0 | 33833   0.0% req=1 0/0 kv= 0% pre=0 | 39477   0.0% req=1 0/0 kv= 0% pre=0 | 32925   0.0% req=1 0/0 kv= 0% pre=0 | 37455   0.0% req=1 0/0 kv= 0% pre=0 | 32985   0.0% req=1 0/0 kv= 0% pre=0 | 34507   0.0% req=1 0/0 kv= 0% pre=0 | 34887   0.0% req=1 0/0 kv= 0% pre=0 | 37879   0.0% req=1 0/0 kv= 0% pre=0 | 34035   0.0% req=1 0/0 kv= 0% pre=0 | 35269   0.0% req=1 0/0 kv= 0% pre=0 || 合计 0.0%
15:49:31 t=1786895371 | 35997     - req=1 0/0 kv= 0% pre=0 | 35089     - req=1 0/0 kv= 0% pre=0 | 33833     - req=1 0/0 kv= 0% pre=0 | 39477     - req=1 0/0 kv= 0% pre=0 | 32925     - req=1 0/0 kv= 0% pre=0 | 37455     - req=1 0/0 kv= 0% pre=0 | 32985     - req=1 0/0 kv= 0% pre=0 | 34507     - req=1 0/0 kv= 0% pre=0 | 34887     - req=1 0/0 kv= 0% pre=0 | 37879     - req=1 0/0 kv= 0% pre=0 | 34035     - req=1 0/0 kv= 0% pre=0 | 35269     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:50:01 t=1786895401 | 35997     - req=1 0/0 kv= 0% pre=0 | 35089     - req=1 0/0 kv= 0% pre=0 | 33833     - req=1 0/0 kv= 0% pre=0 | 39477     - req=1 0/0 kv= 0% pre=0 | 32925     - req=1 0/0 kv= 0% pre=0 | 37455     - req=1 0/0 kv= 0% pre=0 | 32985     - req=1 0/0 kv= 0% pre=0 | 34507     - req=1 0/0 kv= 0% pre=0 | 34887     - req=1 0/0 kv= 0% pre=0 | 37879     - req=1 0/0 kv= 0% pre=0 | 34035     - req=1 0/0 kv= 0% pre=0 | 35269     - req=1 0/0 kv= 0% pre=0 || 合计 -
15:50:31 t=1786895431 | 35997   0.0% req=1 20/24 kv= 6% pre=0 | 35089   0.0% req=1 20/16 kv= 6% pre=0 | 33833   0.0% req=1 20/40 kv= 6% pre=0 | 39477   0.0% req=1 20/32 kv= 6% pre=0 | 32925   0.0% req=1 20/26 kv= 6% pre=0 | 37455   0.0% req=1 20/48 kv= 6% pre=0 | 32985   0.0% req=1 20/28 kv= 6% pre=0 | 34507   0.0% req=1 20/33 kv= 6% pre=0 | 34887   0.0% req=1 20/29 kv= 6% pre=0 | 37879   0.0% req=1 20/27 kv= 6% pre=0 | 34035   0.0% req=1 20/26 kv= 6% pre=0 | 35269   0.0% req=1 20/41 kv= 6% pre=0 || 合计 0.0%
15:51:02 t=1786895462 | 35997  42.5% req=64 42/1 kv=17% pre=0 | 35089  49.2% req=73 35/1 kv=15% pre=0 | 33833  29.7% req=58 58/1 kv=22% pre=0 | 39477  33.5% req=53 52/0 kv=20% pre=0 | 32925  37.1% req=64 39/7 kv=15% pre=0 | 37455  11.8% req=25 66/1 kv=20% pre=0 | 32985  33.7% req=54 44/0 kv=17% pre=0 | 34507  30.9% req=54 53/0 kv=19% pre=0 | 34887  34.2% req=61 46/1 kv=18% pre=0 | 37879  34.9% req=57 42/3 kv=17% pre=0 | 34035  36.8% req=59 42/3 kv=17% pre=0 | 35269  27.4% req=60 59/1 kv=21% pre=0 || 合计 34.2%
15:51:32 t=1786895492 | 35997  79.6% req=177 44/0 kv=22% pre=0 | 35089  81.4% req=173 25/6 kv=13% pre=0 | 33833  70.4% req=162 57/1 kv=27% pre=0 | 39477  72.2% req=150 49/0 kv=24% pre=0 | 32925  76.3% req=182 30/15 kv=15% pre=0 | 37455  60.1% req=101 67/0 kv=26% pre=0 | 32985  71.5% req=145 48/0 kv=25% pre=0 | 34507  73.2% req=160 53/0 kv=25% pre=0 | 34887  70.5% req=148 49/0 kv=24% pre=0 | 37879  76.1% req=171 29/0 kv=14% pre=0 | 34035  74.7% req=156 40/0 kv=21% pre=0 | 35269  68.9% req=160 59/0 kv=26% pre=0 || 合计 73.8%
15:52:02 t=1786895522 | 35997  85.3% req=286 31/0 kv=18% pre=0 | 35089  89.2% req=289 2/0 kv= 1% pre=0 | 33833  81.9% req=285 51/4 kv=28% pre=0 | 39477  83.3% req=261 48/4 kv=28% pre=0 | 32925  86.6% req=277 46/0 kv=26% pre=0 | 37455  73.0% req=178 66/0 kv=29% pre=0 | 32985  84.6% req=271 21/0 kv=13% pre=0 | 34507  84.6% req=266 53/0 kv=29% pre=0 | 34887  86.0% req=272 48/0 kv=28% pre=0 | 37879  87.1% req=282 37/9 kv=21% pre=0 | 34035  87.4% req=277 32/0 kv=19% pre=0 | 35269  77.8% req=276 43/0 kv=23% pre=0 || 合计 84.4%
15:52:33 t=1786895553 | 35997  91.0% req=400 39/0 kv=25% pre=0 | 35089  91.5% req=363 30/0 kv=20% pre=0 | 33833  88.3% req=421 45/14 kv=27% pre=0 | 39477  91.0% req=372 47/0 kv=28% pre=0 | 32925  90.6% req=415 32/0 kv=21% pre=0 | 37455  82.1% req=263 66/0 kv=32% pre=0 | 32985  88.9% req=385 16/0 kv=10% pre=0 | 34507  89.1% req=376 48/0 kv=29% pre=0 | 34887  89.7% req=396 46/0 kv=29% pre=0 | 37879  90.7% req=394 42/0 kv=26% pre=0 | 34035  89.1% req=387 32/5 kv=21% pre=0 | 35269  88.0% req=427 13/0 kv= 6% pre=0 || 合计 89.5%
15:53:03 t=1786895583 | 35997  91.4% req=523 12/0 kv= 8% pre=0 | 35089  93.5% req=456 27/0 kv=20% pre=0 | 33833  90.2% req=545 30/0 kv=20% pre=0 | 39477  92.1% req=528 3/0 kv= 2% pre=0 | 32925  92.3% req=543 9/0 kv= 6% pre=0 | 37455  85.9% req=341 68/0 kv=36% pre=0 | 32985  90.5% req=485 15/0 kv=10% pre=0 | 34507  90.6% req=524 17/0 kv=10% pre=0 | 34887  91.0% req=507 42/0 kv=29% pre=0 | 37879  92.3% req=517 17/0 kv=12% pre=0 | 34035  92.2% req=481 42/0 kv=30% pre=0 | 35269  91.0% req=507 60/0 kv=37% pre=0 || 合计 91.2%
15:53:33 t=1786895613 | 35997  93.8% req=613 38/0 kv=29% pre=0 | 35089  94.7% req=559 10/0 kv= 7% pre=0 | 33833  93.0% req=664 36/0 kv=26% pre=0 | 39477  92.6% req=631 13/0 kv= 8% pre=0 | 32925  93.2% req=631 39/0 kv=29% pre=0 | 37455  87.3% req=428 68/0 kv=38% pre=0 | 32985  92.5% req=587 14/0 kv=11% pre=0 | 34507  92.4% req=612 48/0 kv=34% pre=0 | 34887  92.9% req=617 38/0 kv=28% pre=0 | 37879  93.9% req=627 21/0 kv=15% pre=0 | 34035  93.2% req=565 37/0 kv=28% pre=0 | 35269  92.1% req=633 56/0 kv=37% pre=0 || 合计 92.7%
15:54:04 t=1786895644 | 35997  95.0% req=727 4/0 kv= 3% pre=0 | 35089  95.6% req=648 0/0 kv= 0% pre=0 | 33833  93.8% req=788 17/0 kv=13% pre=0 | 39477  93.4% req=738 15/0 kv=11% pre=0 | 32925  94.2% req=717 37/0 kv=29% pre=0 | 37455  89.1% req=506 62/0 kv=36% pre=0 | 32985  94.8% req=690 8/0 kv= 6% pre=0 | 34507  92.9% req=724 42/0 kv=32% pre=0 | 34887  92.8% req=747 1/0 kv= 1% pre=0 | 37879  93.6% req=718 37/0 kv=27% pre=0 | 34035  94.9% req=675 8/0 kv= 7% pre=0 | 35269  92.9% req=757 49/2 kv=35% pre=0 || 合计 93.6%
15:54:34 t=1786895674 | 35997  94.4% req=800 26/0 kv=22% pre=0 | 35089  95.4% req=724 1/0 kv= 1% pre=0 | 33833  94.4% req=896 9/0 kv= 7% pre=0 | 39477  94.5% req=828 33/0 kv=26% pre=0 | 32925  94.5% req=821 23/0 kv=18% pre=0 | 37455  88.9% req=637 8/0 kv= 5% pre=0 | 32985  94.5% req=780 0/0 kv= 0% pre=0 | 34507  94.4% req=836 35/0 kv=27% pre=0 | 34887  94.4% req=830 14/0 kv=11% pre=0 | 37879  94.5% req=826 2/0 kv= 1% pre=0 | 34035  94.6% req=748 30/0 kv=26% pre=0 | 35269  93.6% req=870 29/1 kv=21% pre=0 || 合计 94.1%
