router (none)
worker http://10.60.1.239:44989 http://10.60.1.239:41209 http://10.60.1.196:41875 http://10.60.1.196:42737 http://10.60.1.6:45075 http://10.60.1.6:43475 http://10.60.1.169:46383 http://10.60.1.169:44235 http://10.60.1.64:40411 http://10.60.1.64:37533 http://10.60.1.45:36489 http://10.60.1.45:46191 
10:12:31 t=1787047951 | 10.60.1.239:44989 -- | 10.60.1.239:41209 -- | 10.60.1.196:41875 -- | 10.60.1.196:42737 -- | 10.60.1.6:45075 -- | 10.60.1.6:43475 -- | 10.60.1.169:46383 -- | 10.60.1.169:44235 -- | 40411     - req=0 0/0 kv= 0% pre=0 | 37533     - req=0 0/0 kv= 0% pre=0 | 36489     - req=0 0/0 kv= 0% pre=0 | 46191     - req=0 0/0 kv= 0% pre=0 || 合计 -
10:13:43 t=1787048023 | 44989   0.0% req=1 0/0 kv= 0% pre=0 | 41209   0.0% req=1 0/0 kv= 0% pre=0 | 41875   0.0% req=1 0/0 kv= 0% pre=0 | 42737   0.0% req=1 0/0 kv= 0% pre=0 | 45075   0.0% req=1 0/0 kv= 0% pre=0 | 43475   0.0% req=1 0/0 kv= 0% pre=0 | 46383   0.0% req=1 0/0 kv= 0% pre=0 | 44235   0.0% req=1 0/0 kv= 0% pre=0 | 40411   0.0% req=1 0/0 kv= 0% pre=0 | 37533   0.0% req=1 0/0 kv= 0% pre=0 | 36489   0.0% req=1 0/0 kv= 0% pre=0 | 46191   0.0% req=1 0/0 kv= 0% pre=0 || 合计 0.0%
10:14:13 t=1787048053 | 44989     - req=1 0/0 kv= 0% pre=0 | 41209     - req=1 0/0 kv= 0% pre=0 | 41875     - req=1 0/0 kv= 0% pre=0 | 42737     - req=1 0/0 kv= 0% pre=0 | 45075     - req=1 0/0 kv= 0% pre=0 | 43475     - req=1 0/0 kv= 0% pre=0 | 46383     - req=1 0/0 kv= 0% pre=0 | 44235     - req=1 0/0 kv= 0% pre=0 | 40411     - req=1 0/0 kv= 0% pre=0 | 37533     - req=1 0/0 kv= 0% pre=0 | 36489     - req=1 0/0 kv= 0% pre=0 | 46191     - req=1 0/0 kv= 0% pre=0 || 合计 -
10:14:44 t=1787048084 | 44989     - req=1 0/0 kv= 0% pre=0 | 41209     - req=1 0/0 kv= 0% pre=0 | 41875     - req=1 0/0 kv= 0% pre=0 | 42737     - req=1 0/0 kv= 0% pre=0 | 45075     - req=1 0/0 kv= 0% pre=0 | 43475     - req=1 0/0 kv= 0% pre=0 | 46383     - req=1 0/0 kv= 0% pre=0 | 44235     - req=1 0/0 kv= 0% pre=0 | 40411     - req=1 0/0 kv= 0% pre=0 | 37533     - req=1 0/0 kv= 0% pre=0 | 36489     - req=1 0/0 kv= 0% pre=0 | 46191     - req=1 0/0 kv= 0% pre=0 || 合计 -
10:15:14 t=1787048114 | 44989   0.0% req=1 31/15 kv= 9% pre=0 | 41209   0.0% req=1 30/25 kv= 9% pre=0 | 41875   0.0% req=1 33/19 kv=10% pre=0 | 42737   0.0% req=1 32/13 kv= 9% pre=0 | 45075   0.0% req=1 33/24 kv=10% pre=0 | 43475   0.0% req=1 33/25 kv=10% pre=0 | 46383   0.0% req=1 32/17 kv=10% pre=0 | 44235   0.0% req=1 33/26 kv=10% pre=0 | 40411   0.0% req=1 32/17 kv=10% pre=0 | 37533   0.0% req=1 32/22 kv= 9% pre=0 | 36489   0.0% req=1 33/12 kv=10% pre=0 | 46191   0.0% req=1 33/8 kv=10% pre=0 || 合计 0.0%
10:15:44 t=1787048144 | 44989  50.8% req=72 43/2 kv=17% pre=0 | 41209  36.6% req=56 55/0 kv=20% pre=0 | 41875  45.4% req=66 48/3 kv=19% pre=0 | 42737  51.5% req=74 39/4 kv=16% pre=0 | 45075  37.9% req=68 53/4 kv=20% pre=0 | 43475  35.9% req=59 58/0 kv=21% pre=0 | 46383  45.1% req=69 48/0 kv=19% pre=0 | 44235  33.5% req=60 59/0 kv=22% pre=0 | 40411  46.9% req=68 44/4 kv=18% pre=0 | 37533  35.6% req=63 49/0 kv=19% pre=0 | 36489  53.4% req=82 43/1 kv=18% pre=0 | 46191  56.8% req=83 37/4 kv=16% pre=0 || 合计 44.4%
10:16:15 t=1787048175 | 44989  76.7% req=185 24/18 kv=13% pre=0 | 41209  73.6% req=166 50/5 kv=24% pre=0 | 41875  73.5% req=164 47/0 kv=23% pre=0 | 42737  79.3% req=181 45/0 kv=23% pre=0 | 45075  71.5% req=172 57/0 kv=27% pre=0 | 43475  72.8% req=175 54/3 kv=26% pre=0 | 46383  76.6% req=176 44/5 kv=23% pre=0 | 44235  72.8% req=163 58/0 kv=27% pre=0 | 40411  76.6% req=173 38/8 kv=20% pre=0 | 37533  73.7% req=163 54/0 kv=26% pre=0 | 36489  78.0% req=181 45/0 kv=23% pre=0 | 46191  80.6% req=184 27/0 kv=14% pre=0 || 合计 75.4%
10:16:45 t=1787048205 | 44989  86.7% req=277 42/3 kv=25% pre=0 | 41209  82.3% req=276 39/0 kv=22% pre=0 | 41875  85.7% req=313 1/0 kv= 1% pre=0 | 42737  88.1% req=315 9/0 kv= 5% pre=0 | 45075  83.1% req=286 57/0 kv=32% pre=0 | 43475  84.1% req=291 51/6 kv=28% pre=0 | 46383  86.0% req=295 44/5 kv=26% pre=0 | 44235  85.5% req=284 59/0 kv=32% pre=0 | 40411  85.5% req=295 30/16 kv=18% pre=0 | 37533  84.9% req=287 39/0 kv=21% pre=0 | 36489  86.5% req=316 12/21 kv= 8% pre=0 | 46191  87.6% req=288 40/0 kv=24% pre=0 || 合计 85.4%
10:17:15 t=1787048235 | 44989  90.5% req=391 28/0 kv=18% pre=0 | 41209  87.5% req=386 17/0 kv=11% pre=0 | 41875  88.8% req=419 2/0 kv= 1% pre=0 | 42737  90.1% req=412 32/8 kv=20% pre=0 | 45075  89.3% req=443 20/0 kv=12% pre=0 | 43475  88.6% req=434 20/18 kv=11% pre=0 | 46383  90.4% req=399 45/0 kv=29% pre=0 | 44235  88.2% req=414 46/0 kv=26% pre=0 | 40411  90.1% req=401 39/6 kv=26% pre=0 | 37533  89.3% req=433 7/0 kv= 4% pre=0 | 36489  88.4% req=406 33/9 kv=22% pre=0 | 46191  91.1% req=411 6/0 kv= 4% pre=0 || 合计 89.3%
10:17:46 t=1787048266 | 44989  92.2% req=493 22/0 kv=17% pre=0 | 41209  89.7% req=457 51/0 kv=33% pre=0 | 41875  91.2% req=522 10/0 kv= 7% pre=0 | 42737  91.4% req=510 31/0 kv=21% pre=0 | 45075  91.0% req=573 8/0 kv= 5% pre=0 | 43475  90.7% req=546 15/0 kv= 9% pre=0 | 46383  92.1% req=540 16/0 kv=10% pre=0 | 44235  92.4% req=540 45/0 kv=29% pre=0 | 40411  91.8% req=506 45/0 kv=31% pre=0 | 37533  91.1% req=546 5/0 kv= 3% pre=0 | 36489  91.7% req=498 32/0 kv=24% pre=0 | 46191  92.7% req=487 33/0 kv=24% pre=0 || 合计 91.5%
10:18:16 t=1787048296 | 44989  93.3% req=593 18/0 kv=13% pre=0 | 41209  92.4% req=566 43/2 kv=29% pre=0 | 41875  92.8% req=633 10/0 kv= 7% pre=0 | 42737  93.4% req=623 11/0 kv= 7% pre=0 | 45075  92.1% req=692 1/0 kv= 1% pre=0 | 43475  92.3% req=671 3/0 kv= 2% pre=0 | 46383  92.4% req=651 2/0 kv= 1% pre=0 | 44235  93.3% req=690 0/0 kv= 0% pre=0 | 40411  92.5% req=616 42/0 kv=32% pre=0 | 37533  92.5% req=656 8/0 kv= 5% pre=0 | 36489  93.5% req=608 5/0 kv= 3% pre=0 | 46191  94.4% req=587 15/0 kv=11% pre=0 || 合计 92.8%
